name,fat (g),sodium (mg),fiber (g),carbo (g),sugars (g),potass (mg), rating (%)
100% Bran,1,130,10,5,6,280,68.402973
100% Natural Bran,5,15,2,8,8,135,33.983679
All-Bran,1,260,9,7,5,320,59.425505
All-Bran with Extra Fiber,0,140,14,8,0,330,93.704912
Almond Delight,2,200,1,14,8,-1,34.384843
Apple Cinnamon Cheerios,2,180,1.5,10.5,10,70,29.509541
Apple Jacks,0,125,1,11,14,30,33.174094
Basic 4,2,210,2,18,8,100,37.038562
Bran Chex,1,200,4,15,6,125,49.120253
Bran Flakes,0,210,5,13,5,190,53.313813
Cap'n'Crunch,2,220,0,12,12,35,18.042851
Cheerios,2,290,2,17,1,105,50.764999
Cinnamon Toast Crunch,3,210,0,13,9,45,19.823573
Clusters,2,140,2,13,7,105,40.400208
Cocoa Puffs,1,180,0,12,13,55,22.736446
Corn Chex,0,280,0,22,3,25,41.445019
Corn Flakes,0,290,1,21,2,35,45.863324
Corn Pops,0,90,1,13,12,20,35.782791
Count Chocula,1,180,0,12,13,65,22.396513
Cracklin' Oat Bran,3,140,4,10,7,160,40.448772
Crispix,0,220,1,21,3,30,46.895644
Crispy Wheat & Raisins,1,140,2,11,10,120,36.176196
Double Chex,0,190,1,18,5,80,44.330856
Froot Loops,1,125,1,11,13,30,32.207582
Frosted Flakes,0,200,1,14,11,25,31.435973
Frosted Mini-Wheats,0,0,3,14,7,100,58.345141
Fruit & Fibre Dates; Walnuts; and Oats,2,160,5,12,10,200,40.917047
Fruitful Bran,0,240,5,14,12,190,41.015492
Fruity Pebbles,1,135,0,13,12,25,28.025765
Golden Crisp,0,45,0,11,15,40,35.252444
Golden Grahams,1,280,0,15,9,45,23.804043
Grape Nuts Flakes,1,140,3,15,5,85,52.076897
Grape-Nuts,0,170,3,17,3,90,53.371007
Great Grains Pecan,3,75,3,13,4,100,45.811716
Honey Graham Ohs,2,220,1,12,11,45,21.871292
Honey Nut Cheerios,1,250,1.5,11.5,10,90,31.072217
Honey-comb,0,180,0,14,11,35,28.742414
Just Right Crunchy  Nuggets,1,170,1,17,6,60,36.523683
Just Right Fruit & Nut,1,170,2,20,9,95,36.471512
Kix,1,260,0,21,3,40,39.241114
Life,2,150,2,12,6,95,45.328074
Lucky Charms,1,180,0,12,12,55,26.734515
Maypo,1,0,0,16,3,95,54.850917
Muesli Raisins; Dates; & Almonds,3,95,3,16,11,170,37.136863
Muesli Raisins; Peaches; & Pecans,3,150,3,16,11,170,34.139765
Mueslix Crispy Blend,2,150,3,17,13,160,30.313351
Multi-Grain Cheerios,1,220,2,15,6,90,40.105965
Nut&Honey Crunch,1,190,0,15,9,40,29.924285
Nutri-Grain Almond-Raisin,2,220,3,21,7,130,40.69232
Nutri-grain Wheat,0,170,3,18,2,90,59.642837
Oatmeal Raisin Crisp,2,170,1.5,13.5,10,120,30.450843
Post Nat. Raisin Bran,1,200,6,11,14,260,37.840594
Product 19,0,320,1,20,3,45,41.50354
Puffed Rice,0,0,0,13,0,15,60.756112
Puffed Wheat,0,0,1,10,0,50,63.005645
Quaker Oat Squares,1,135,2,14,6,110,49.511874
Raisin Bran,1,210,5,14,12,240,39.259197
Raisin Nut Bran,2,140,2.5,10.5,8,140,39.7034
Raisin Squares,0,0,2,15,6,110,55.333142
Rice Chex,0,240,0,23,2,30,41.998933
Rice Krispies,0,290,0,22,3,35,40.560159
Shredded Wheat,0,0,3,16,0,95,68.235885
Shredded Wheat 'n'Bran,0,0,4,19,0,140,74.472949
Shredded Wheat spoon size,0,0,3,20,0,120,72.801787
Smacks,1,70,1,9,15,40,31.230054
Special K,0,230,1,16,3,55,53.131324
Strawberry Fruit Wheats,0,15,3,15,5,90,59.363993
Total Corn Flakes,1,200,0,21,3,35,38.839746
Total Raisin Bran,1,190,4,15,14,230,28.592785
Total Whole Grain,1,200,3,16,3,110,46.658844
Triples,1,250,0,21,3,60,39.106174
Trix,1,140,0,13,12,25,27.753301
Wheat Chex,1,230,3,17,3,115,49.787445
Wheaties,1,200,3,17,3,110,51.592193
Wheaties Honey Gold,1,200,1,16,8,60,36.187559
