start_year,end_year,age,gender,n,overweight,class1,class2,class3
1999,2000,12-15,all,1184,31.8,16.6,5.4,1.4
1999,2000,12-15,female,591,33,16.4,5.3,1.2
1999,2000,12-15,male,593,30.7,16.7,5.4,1.5
2001,2002,12-15,all,1191,31.4,16.8,5.8,0.8
2001,2002,12-15,female,639,32.3,16.9,5.3,1
2001,2002,12-15,male,552,30.6,16.7,6.2,0.6
2003,2004,12-15,all,1096,35.7,16.8,5.3,1.5
2003,2004,12-15,female,534,34,16.2,5,0.7
2003,2004,12-15,male,562,37.2,17.4,5.6,2.2
2005,2006,12-15,all,1058,34.6,18.1,6.8,1.3
2005,2006,12-15,female,531,37,19.6,7.5,1.1
2005,2006,12-15,male,527,32.5,16.7,6.2,1.5
2007,2008,12-15,all,608,37.9,19.5,6.2,2.3
2007,2008,12-15,female,290,39.7,18.2,5.9,2.6
2007,2008,12-15,male,318,36.3,20.8,6.3,1.9
2009,2010,12-15,all,645,33.4,17.4,7.3,1.9
2009,2010,12-15,female,321,32.9,16.4,5.4,0.7
2009,2010,12-15,male,324,34,18.5,9.3,3.2
2011,2012,12-15,all,623,36.7,23.3,7.2,2.5
2011,2012,12-15,female,300,35,23.6,7.9,3.1
2011,2012,12-15,male,323,38.3,22.9,6.4,1.9
2013,2014,12-15,all,718,38.2,20.1,6.8,3
2013,2014,12-15,female,345,40.4,22.1,5.7,2.5
2013,2014,12-15,male,373,36.2,18.3,7.8,3.4
2015,2016,12-15,all,675,38.7,20.6,7.5,2.2
2015,2016,12-15,female,313,39.2,20.6,5.1,1
2015,2016,12-15,male,362,38.2,20.6,9.7,3.2
1999,2000,16-19,all,1105,30.4,15,5.8,1.9
1999,2000,16-19,female,543,28.6,15.4,5,2.1
1999,2000,16-19,male,562,32.2,14.5,6.6,1.8
2001,2002,16-19,all,1154,31,16.5,6.1,2.1
2001,2002,16-19,female,544,29.3,14.3,6.2,2.2
2001,2002,16-19,male,610,32.5,18.6,5.9,2
2003,2004,16-19,all,1119,33.8,18.3,7.3,2.8
2003,2004,16-19,female,542,31.1,17.4,7.8,4
2003,2004,16-19,male,577,36.3,19.2,6.9,1.5
2005,2006,16-19,all,1128,33.6,18,7.8,2.9
2005,2006,16-19,female,564,33.5,15.6,7.4,3.4
2005,2006,16-19,male,564,33.7,20.4,8.3,2.5
2007,2008,16-19,all,591,30.8,17.1,6.4,2.6
2007,2008,16-19,female,268,27,15.6,5,2.2
2007,2008,16-19,male,323,34.2,18.4,7.6,3.1
2009,2010,16-19,all,647,34.3,20,8.7,3
2009,2010,16-19,female,286,32.3,17.8,9.7,3.4
2009,2010,16-19,male,361,36,22,7.7,2.6
2011,2012,16-19,all,593,32.8,17.6,7,3.7
2011,2012,16-19,female,292,32.8,17.4,7.4,4.2
2011,2012,16-19,male,301,32.8,17.9,6.7,3.2
2013,2014,16-19,all,668,36.7,21.2,12.4,5.4
2013,2014,16-19,female,340,35.6,20.8,15.1,7.5
2013,2014,16-19,male,328,37.8,21.6,10,3.6
2015,2016,16-19,all,583,41.5,20.5,9.5,4.5
2015,2016,16-19,female,294,47.9,21.1,9.1,5.2
2015,2016,16-19,male,289,34.8,19.9,9.8,3.8
1999,2000,2-5,all,726,21.2,10.7,1.8,0.2
1999,2000,2-5,female,352,20.4,11.1,2.2,0
1999,2000,2-5,male,374,22,10.3,1.4,0.4
2001,2002,2-5,all,795,22.4,10.1,2.6,0.6
2001,2002,2-5,female,412,21.7,9.9,2.5,0.3
2001,2002,2-5,male,383,23.2,10.4,2.8,0.9
2003,2004,2-5,all,819,25.9,13.4,2.8,0.7
2003,2004,2-5,female,417,25.5,12.1,1.7,0.1
2003,2004,2-5,male,402,26.4,14.6,3.9,1.3
2005,2006,2-5,all,952,22.3,10.7,1.5,0.3
2005,2006,2-5,female,479,21.1,11,1.4,0.2
2005,2006,2-5,male,473,23.4,10.4,1.6,0.4
2007,2008,2-5,all,885,20.9,10.3,1.7,0.8
2007,2008,2-5,female,396,21.1,10.7,2,1.2
2007,2008,2-5,male,489,20.6,9.8,1.4,0.4
2009,2010,2-5,all,903,26.4,12.1,2.6,0.3
2009,2010,2-5,female,432,23.2,9.6,1.5,0.3
2009,2010,2-5,male,471,29.4,14.3,3.6,0.3
2011,2012,2-5,all,871,22.6,8.3,1.6,0.5
2011,2012,2-5,female,432,21.6,7.2,1.5,0.4
2011,2012,2-5,male,439,23.6,9.3,1.8,0.6
2013,2014,2-5,all,843,25.1,9.3,1.7,0.2
2013,2014,2-5,female,415,24.8,10,2.7,0.1
2013,2014,2-5,male,428,25.5,8.5,0.6,0.2
2015,2016,2-5,all,814,26,13.7,1.8,0.2
2015,2016,2-5,female,396,25.9,13.2,1.5,0
2015,2016,2-5,male,418,26,14.2,2,0.3
1999,2000,6-8,all,534,29.7,14.9,3.1,0.4
1999,2000,6-8,female,241,25.6,14,2.9,0.4
1999,2000,6-8,male,293,33.1,15.8,3.2,0.4
2001,2002,6-8,all,596,30.8,15.1,6.3,1.2
2001,2002,6-8,female,309,27.9,12,4,0.6
2001,2002,6-8,male,287,33.8,18.4,8.7,1.9
2003,2004,6-8,all,490,30,15.8,3.8,1.4
2003,2004,6-8,female,261,26.7,13.6,4.3,1.4
2003,2004,6-8,male,229,33.1,17.8,3.3,1.4
2005,2006,6-8,all,553,25.3,13.1,2.8,0.8
2005,2006,6-8,female,274,22.4,12.6,2,0.4
2005,2006,6-8,male,279,28.2,13.7,3.6,1.3
2007,2008,6-8,all,608,31.4,17.3,5.1,1.1
2007,2008,6-8,female,305,29.9,14.1,3.7,0.9
2007,2008,6-8,male,303,32.9,20.3,6.4,1.3
2009,2010,6-8,all,597,30.8,17.6,4.3,1.1
2009,2010,6-8,female,282,32.7,17.5,4.2,1.1
2009,2010,6-8,male,315,29.2,17.6,4.4,1.1
2011,2012,6-8,all,654,30.8,16.9,6,2.5
2011,2012,6-8,female,304,32.4,19.9,5.4,1.8
2011,2012,6-8,male,350,29.6,14.5,6.5,3
2013,2014,6-8,all,674,30.5,15.7,3.2,0.5
2013,2014,6-8,female,320,29.4,13.3,3.2,0.4
2013,2014,6-8,male,354,31.5,17.9,3.3,0.6
2015,2016,6-8,all,655,32.8,18.8,5.1,1.4
2015,2016,6-8,female,321,34.2,19.4,5,1.8
2015,2016,6-8,male,334,31.6,18.2,5.3,1.1
1999,2000,9-11,all,514,31.7,16.4,3.8,0.6
1999,2000,9-11,female,265,30.5,16.4,4.2,0.5
1999,2000,9-11,male,249,33,16.3,3.5,0.7
2001,2002,9-11,all,569,33.5,17,5.9,1.4
2001,2002,9-11,female,275,36.5,17.8,4.4,0.6
2001,2002,9-11,male,294,30.8,16.2,7.3,2.1
2003,2004,9-11,all,492,44.8,22.1,6.9,1.5
2003,2004,9-11,female,258,49.6,22.1,6.6,1.3
2003,2004,9-11,male,234,40.3,22.1,7.2,1.6
2005,2006,9-11,all,561,33.5,18.2,5.4,0.5
2005,2006,9-11,female,290,32.4,16.8,5.8,0.2
2005,2006,9-11,male,271,34.6,19.6,5,0.8
2007,2008,9-11,all,589,39.7,22.1,6.5,0.9
2007,2008,9-11,female,297,40.2,21.8,6.6,0.5
2007,2008,9-11,male,292,39.1,22.4,6.3,1.3
2009,2010,9-11,all,616,35.1,18.7,5.8,1.7
2009,2010,9-11,female,310,31.8,14.3,4.5,2.4
2009,2010,9-11,male,306,38.4,23.3,7.2,1.1
2011,2012,9-11,all,614,38,18.7,7.7,1.4
2011,2012,9-11,female,314,38.1,18.6,7.4,1.5
2011,2012,9-11,male,300,37.9,18.8,8.1,1.3
2013,2014,9-11,all,620,36.1,20.2,5.9,1.8
2013,2014,9-11,female,309,35.1,18.9,5.8,1.4
2013,2014,9-11,male,311,37.3,21.6,5.9,2.2
2015,2016,9-11,all,613,35.6,18.5,5.3,1
2015,2016,9-11,female,320,27.8,14,5.4,0.9
2015,2016,9-11,male,293,43.8,23.3,5.2,1.2
1999,2000,all,all,4063,28.8,14.6,4,0.9
1999,2000,all,female,1992,27.5,14.6,4,0.9
1999,2000,all,male,2071,30.1,14.7,4.1,1
